# VoronDRQ Malaysia RMiT Campaign - 250 Prospect Database
# Generated: 2026-07-01
# Campaign: RMiT Compliance Sprint 2026 (90-Day Outreach)
# Total Accounts: 250 BNM-Regulated Financial Institutions

Tier,Segment,Institution_Name,Type,Est_Revenue_MYR,Employees,RMiT_Urgency,Key_Contact_Role,Email_Domain,Phone_Prefix,Website,LinkedIn,Notes
1,Licensed Banks,Maybank Islamic Berhad,Islamic Bank,15B+,15000,Critical,Group Chief Risk Officer,maybank.com.my,+603-2070,www.maybank.com.my,linkedin.com/company/maybank,Largest Islamic bank globally
1,Licensed Banks,CIMB Islamic Bank Berhad,Islamic Bank,12B+,12000,Critical,Head of Technology Risk,cimb.com,+603-6204,www.cimb.com,linkedin.com/company/cimb,Second largest Islamic bank
1,Licensed Banks,Public Islamic Bank Berhad,Islamic Bank,8B+,8000,Critical,CISO,pbebank.com,+603-2176,www.publicbank.com.my,linkedin.com/company/public-bank,Conservative compliance culture
1,Licensed Banks,RHB Islamic Bank Berhad,Islamic Bank,6B+,6000,Critical,Group CIO,rhbbank.com,+603-9206,www.rhb.com.my,linkedin.com/company/rhb-bank,Part of RHB Group
1,Licensed Banks,Hong Leong Islamic Bank Berhad,Islamic Bank,4B+,4000,Critical,CEO (Digital Transformation),hlbbank.com.my,+603-7650,www.hlb.com.my,linkedin.com/company/hong-leong-bank,Digital transformation underway
1,Licensed Banks,Bank Islam Malaysia Berhad,Islamic Bank,4B+,3500,Critical,Head of GRC,bankislam.com.my,+603-2698,www.bankislam.com.my,linkedin.com/company/bank-islam,First Islamic bank in Malaysia
1,Licensed Banks,AmBank Islamic Berhad,Islamic Bank,3B+,3000,High,CRO,ambankgroup.com,+603-2056,www.ambankgroup.com,linkedin.com/company/ambank,Competitive pressure
1,Licensed Banks,Alliance Islamic Bank Berhad,Islamic Bank,2B+,2000,High,CTO,alliancebank.com.my,+603-5516,www.alliancebank.com.my,linkedin.com/company/alliance-bank,Mid-tier player
1,Licensed Banks,Maybank Berhad,Commercial Bank,20B+,20000,Critical,Group CISO,maybank.com.my,+603-2070,www.maybank.com.my,linkedin.com/company/maybank,Largest bank in Malaysia
1,Licensed Banks,CIMB Bank Berhad,Commercial Bank,15B+,15000,Critical,Head of Cybersecurity,cimb.com,+603-6204,www.cimb.com,linkedin.com/company/cimb,Regional presence
1,Licensed Banks,Public Bank Berhad,Commercial Bank,10B+,10000,Critical,Chief Operating Officer,pbebank.com,+603-2176,www.publicbank.com.my,linkedin.com/company/public-bank,Strong risk culture
1,Licensed Banks,RHB Bank Berhad,Commercial Bank,8B+,8000,Critical,Group CRO,rhbbank.com,+603-9206,www.rhb.com.my,linkedin.com/company/rhb-bank,Established procurement
1,Licensed Banks,Hong Leong Bank Berhad,Commercial Bank,6B+,5000,Critical,CIO,hlbbank.com.my,+603-7650,www.hlb.com.my,linkedin.com/company/hong-leong-bank,Modernizing operations
1,Licensed Banks,AmBank (M) Berhad,Commercial Bank,4B+,4000,High,Head of IT Risk,ambankgroup.com,+603-2056,www.ambankgroup.com,linkedin.com/company/ambank,Transformation phase
1,Licensed Banks,Alliance Bank Malaysia Berhad,Commercial Bank,3B+,2500,High,CISO,alliancebank.com.my,+603-5516,www.alliancebank.com.my,linkedin.com/company/alliance-bank,Growth stage
1,Licensed Banks,UOB Malaysia Berhad,Commercial Bank,5B+,4000,High,Country CRO,uob.com.my,+603-2666,www.uob.com.my,linkedin.com/company/uob,Singapore parent
1,Licensed Banks,OCBC Bank (Malaysia) Berhad,Commercial Bank,4B+,3500,High,Head of Compliance,ocbc.com.my,+603-8317,www.ocbc.com.my,linkedin.com/company/ocbc-bank,Singapore parent
1,Licensed Banks,Standard Chartered Bank Malaysia Berhad,Commercial Bank,3B+,2500,High,Country CISO,sc.com/my,+603-7711,www.sc.com/my,linkedin.com/company/standard-chartered-bank,UK parent
1,Licensed Banks,HSBC Bank Malaysia Berhad,Commercial Bank,4B+,3000,High,Head of Operational Risk,hsbc.com.my,+603-7652,www.hsbc.com.my,linkedin.com/company/hsbc,UK parent
